"maxTp","minTp","date"
"19.2 °C","11.9 °C","Sun Jun 13 00:00:00 CEST 2021"
"29.6 °C","12.8 °C","Sun Aug 08 00:00:00 CEST 2021"
"0.1 °C","-1.7 °C","Fri Dec 04 00:00:00 CET 2020"
"19.2 °C","14.2 °C","Tue Jun 15 00:00:00 CEST 2021"
"6.5 °C","-4.3 °C","Sat Oct 30 00:00:00 CEST 2021"
"21 °C","13.3 °C","Tue Jun 08 00:00:00 CEST 2021"
"9 °C","4.7 °C","Sun Dec 13 00:00:00 CET 2020"
"29 °C","15.6 °C","Thu May 27 00:00:00 CEST 2021"
"16.1 °C","-1.5 °C","Thu Feb 25 00:00:00 CET 2021"
"19.9 °C","10.4 °C","Thu Jul 29 00:00:00 CEST 2021"
"5.7 °C","0.4 °C","Tue Oct 26 00:00:00 CEST 2021"
"6.1 °C","0.2 °C","Sat Oct 09 00:00:00 CEST 2021"
"18 °C","3.2 °C","Fri Apr 23 00:00:00 CEST 2021"
"9.2 °C","-1.6 °C","Sun Oct 10 00:00:00 CEST 2021"
"17.8 °C","8 °C","Sat Apr 17 00:00:00 CEST 2021"
"23.1 °C","14.9 °C","Fri Apr 09 00:00:00 CEST 2021"
"24.5 °C","2.8 °C","Wed Sep 01 00:00:00 CEST 2021"
"5 °C","-0.3 °C","Thu Dec 17 00:00:00 CET 2020"
"19.6 °C","12.9 °C","Thu Sep 30 00:00:00 CEST 2021"
"16.8 °C","5.7 °C","Mon Apr 19 00:00:00 CEST 2021"
"31.4 °C","15 °C","Tue Jul 13 00:00:00 CEST 2021"
"15.4 °C","8.1 °C","Mon Mar 29 00:00:00 CEST 2021"
"16.3 °C","8.4 °C","Wed Mar 10 00:00:00 CET 2021"
"19.4 °C","12 °C","Sun Jul 18 00:00:00 CEST 2021"
"N.C.","N.C.","Sun Sep 05 00:00:00 CEST 2021"
"18.2 °C","-0.7 °C","Sat Jan 30 00:00:00 CET 2021"
"21.6 °C","9.9 °C","Tue Apr 27 00:00:00 CEST 2021"
"26 °C","8.5 °C","Wed May 26 00:00:00 CEST 2021"
"16.1 °C","8.4 °C","Wed Apr 07 00:00:00 CEST 2021"
"17.7 °C","0.3 °C","Wed Sep 15 00:00:00 CEST 2021"
"17.4 °C","-1 °C","Sat Apr 03 00:00:00 CEST 2021"
"N.C.","N.C.","Tue Mar 02 00:00:00 CET 2021"
"13.5 °C","-2.7 °C","Thu Sep 23 00:00:00 CEST 2021"
"27.9 °C","17 °C","Fri Jun 18 00:00:00 CEST 2021"
"15.4 °C","7.3 °C","Thu Apr 15 00:00:00 CEST 2021"
"23.9 °C","15.1 °C","Tue Aug 10 00:00:00 CEST 2021"
"0.6 °C","-4.7 °C","Fri Dec 11 00:00:00 CET 2020"
"21.9 °C","3.7 °C","Tue Mar 02 00:00:00 CET 2021"
"6.4 °C","3.9 °C","Sun Oct 17 00:00:00 CEST 2021"
"17.4 °C","5.1 °C","Wed Jan 06 00:00:00 CET 2021"
"16 °C","7.9 °C","Wed Jan 20 00:00:00 CET 2021"
"19.6 °C","13.4 °C","Sat Aug 21 00:00:00 CEST 2021"
"22 °C","15.1 °C","Sat Jul 17 00:00:00 CEST 2021"
"9.5 °C","-0.1 °C","Sun Oct 24 00:00:00 CEST 2021"
"-0.3 °C","-5.1 °C","Wed Dec 09 00:00:00 CET 2020"
"0.8 °C","-1.5 °C","Mon Jan 11 00:00:00 CET 2021"
"15.1 °C","-3.4 °C","Thu Mar 04 00:00:00 CET 2021"
"22.3 °C","14.4 °C","Sun Jul 04 00:00:00 CEST 2021"
"12 °C","8.1 °C","Fri Jan 01 00:00:00 CET 2021"
"14.9 °C","8.4 °C","Fri Sep 10 00:00:00 CEST 2021"
"10.2 °C","1.3 °C","Sat Feb 06 00:00:00 CET 2021"
"17.4 °C","11.6 °C","Sun Mar 28 00:00:00 CET 2021"
"19.2 °C","5.8 °C","Sat Aug 28 00:00:00 CEST 2021"
"26.1 °C","13.7 °C","Wed Aug 04 00:00:00 CEST 2021"
"24 °C","15 °C","Tue Aug 17 00:00:00 CEST 2021"
"20.2 °C","13.1 °C","Fri Oct 01 00:00:00 CEST 2021"
"23.2 °C","14.7 °C","Sat May 29 00:00:00 CEST 2021"
"17.6 °C","-2.6 °C","Mon Feb 01 00:00:00 CET 2021"
"24.9 °C","3.8 °C","Mon Mar 01 00:00:00 CET 2021"
"-0.1 °C","-0.7 °C","Sun Dec 06 00:00:00 CET 2020"
"29.6 °C","11.4 °C","Tue Jun 22 00:00:00 CEST 2021"
"23.5 °C","13.7 °C","Wed Jul 07 00:00:00 CEST 2021"
"20.6 °C","13 °C","Sat Jul 24 00:00:00 CEST 2021"
"9.9 °C","7.2 °C","Wed Mar 31 00:00:00 CEST 2021"
"23.6 °C","17.9 °C","Thu Jun 03 00:00:00 CEST 2021"
"20.8 °C","1.5 °C","Tue Mar 23 00:00:00 CET 2021"
"32.7 °C","13.6 °C","Sun May 16 00:00:00 CEST 2021"
"24.2 °C","11 °C","Mon Jul 26 00:00:00 CEST 2021"
"9.4 °C","0.5 °C","Fri Jan 08 00:00:00 CET 2021"
"10.3 °C","0.3 °C","Sun Oct 31 00:00:00 CEST 2021"
"26.7 °C","9.8 °C","Thu Jun 10 00:00:00 CEST 2021"
"16.5 °C","7.5 °C","Thu Feb 11 00:00:00 CET 2021"
"1.9 °C","-2.1 °C","Wed Dec 16 00:00:00 CET 2020"
"0.7 °C","-0.2 °C","Fri Oct 29 00:00:00 CEST 2021"
"13.2 °C","5.3 °C","Fri Apr 02 00:00:00 CEST 2021"
"23.5 °C","8.7 °C","Sat Jul 31 00:00:00 CEST 2021"
"13.9 °C","8 °C","Mon Sep 13 00:00:00 CEST 2021"
"27.9 °C","11 °C","Sun Jun 27 00:00:00 CEST 2021"
"29.9 °C","10.6 °C","Fri Aug 13 00:00:00 CEST 2021"
"15.1 °C","3.5 °C","Tue Sep 07 00:00:00 CEST 2021"
"3.3 °C","-1.8 °C","Tue Dec 08 00:00:00 CET 2020"
"31.2 °C","14.5 °C","Sun Jul 11 00:00:00 CEST 2021"
"17.5 °C","7.7 °C","Thu Jan 21 00:00:00 CET 2021"
"6.9 °C","-0.8 °C","Thu Dec 24 00:00:00 CET 2020"
"27.3 °C","10.8 °C","Mon May 03 00:00:00 CEST 2021"
"5.9 °C","-1.4 °C","Thu Oct 21 00:00:00 CEST 2021"
"18.1 °C","15.5 °C","Sun Jun 06 00:00:00 CEST 2021"
"20.2 °C","7.2 °C","Sat Mar 27 00:00:00 CET 2021"
"29.1 °C","16.8 °C","Sat Jun 05 00:00:00 CEST 2021"
"10.5 °C","0.4 °C","Sun Feb 14 00:00:00 CET 2021"
"23 °C","6.5 °C","Fri Apr 30 00:00:00 CEST 2021"
"27.2 °C","11.2 °C","Wed Jun 02 00:00:00 CEST 2021"
"13.3 °C","2.4 °C","Wed Mar 03 00:00:00 CET 2021"
"22.7 °C","17.5 °C","Thu Jun 24 00:00:00 CEST 2021"
"13.1 °C","-4 °C","Wed Feb 10 00:00:00 CET 2021"
"15.5 °C","-2.3 °C","Thu Feb 04 00:00:00 CET 2021"
"12.2 °C","6.3 °C","Sun Mar 21 00:00:00 CET 2021"
"1.6 °C","-1.4 °C","Mon Dec 07 00:00:00 CET 2020"
"26.5 °C","16 °C","Mon Jun 28 00:00:00 CEST 2021"
"10.6 °C","-5.5 °C","Mon Mar 15 00:00:00 CET 2021"
"6.9 °C","5.3 °C","Sat Oct 16 00:00:00 CEST 2021"
"24.4 °C","10.3 °C","Fri Aug 27 00:00:00 CEST 2021"
"27.2 °C","11.3 °C","Tue May 11 00:00:00 CEST 2021"
"22.6 °C","9.1 °C","Sun May 30 00:00:00 CEST 2021"
"17.6 °C","8.1 °C","Wed Apr 14 00:00:00 CEST 2021"
